"utcconversiontimezonecode","crb02_description","versionnumber","timezoneruleversionnumber","importsequencenumber","crb02_offrebecloud1","crb02_offrebecloudid","crb02_prixht","crb02_prixttc","statuscode","crb02_service","statecode","owningbusinessunit"
"","Licence nécessaire au déploiement d’applications IA","95486308","","","SharePoint Plan 1","7067aa5b-58ab-f011-bbd3-002248724eaf","5","6","1","480810004","0","b1695973-fc10-ec11-b6e5-6045bd872777"
"","Création et déploiement illimité d’applications IA","95486306","","","Power Apps Premium","6e67aa5b-58ab-f011-bbd3-002248724eaf","19","22","1","480810004","0","b1695973-fc10-ec11-b6e5-6045bd872777"
"","Accompagnement cloud, support illimité, supervision sécurité","95486304","","","Contrat de services Pack Be-Cloud Premium","6a67aa5b-58ab-f011-bbd3-002248724eaf","40","47","1","480810004","0","b1695973-fc10-ec11-b6e5-6045bd872777"
"","IA générative sécurisée intégrée aux outils Microsoft","95486303","","","Be GPT Stand Alone","6c67aa5b-58ab-f011-bbd3-002248724eaf","495","594","1","480810004","0","b1695973-fc10-ec11-b6e5-6045bd872777"
"","Licence nécessaire au service de supervision","95486256","","","Exchange Online Kiosk","6d67aa5b-58ab-f011-bbd3-002248724eaf","2","2","1","480810003","0","b1695973-fc10-ec11-b6e5-6045bd872777"
"","1200 min nationales + 600 min internationales","95485831","","","Microsoft Teams Domestic and International Calling Plan","f1df1d34-58ab-f011-bbd3-002248724eaf","22","27","1","480810000","0","b1695973-fc10-ec11-b6e5-6045bd872777"
"","Forfait 1200 minutes nationales","95485830","","","Microsoft Teams Domestic Calling Plan (1200min)","eddf1d34-58ab-f011-bbd3-002248724eaf","11","13","1","480810000","0","b1695973-fc10-ec11-b6e5-6045bd872777"
"","Forfait 120 minutes nationales","95485829","","","Microsoft Teams Domestic Calling Plan (120min)","ecdf1d34-58ab-f011-bbd3-002248724eaf","6","7","1","480810000","0","b1695973-fc10-ec11-b6e5-6045bd872777"
"","Système de téléphonie Microsoft","95485827","","","Microsoft Teams Phone Standard","ebdf1d34-58ab-f011-bbd3-002248724eaf","8","9","1","480810000","0","b1695973-fc10-ec11-b6e5-6045bd872777"
"","Sécurité postes + identités + données d’entreprise","95485823","","","Enterprise Mobility + Security E3","18f90cf5-57ab-f011-bbd3-002248724dd9","10","12","1","480810003","0","b1695973-fc10-ec11-b6e5-6045bd872777"
"","Exchange Kiosk 2Go + Web/Phone Apps + OneDrive 2Go + Sharepoint Kiosk","95485822","","","Microsoft 365 F3","16f90cf5-57ab-f011-bbd3-002248724dd9","8","9","1","480810003","0","b1695973-fc10-ec11-b6e5-6045bd872777"
"","Exchange Kiosk 2Go + Web/Phone Apps lecture seule + OneDrive 2Go + Sharepoint Kiosk","95485821","","","Microsoft 365 F1","15f90cf5-57ab-f011-bbd3-002248724dd9","2","3","1","480810003","0","b1695973-fc10-ec11-b6e5-6045bd872777"
"","Bureautique + Exchange 50Go + OneDrive 1To + Sharepoint 1To + Teams","95485820","","","Microsoft 365 Business Standard (Limite 300 users)","14f90cf5-57ab-f011-bbd3-002248724dd9","12","14","1","480810003","0","b1695973-fc10-ec11-b6e5-6045bd872777"
"","Bureautique + Exchange 50Go + OneDrive 1To + Sharepoint 1To + Teams + Sécurité avancée","95485818","","","Microsoft 365 Business Premium (Limite 300 users)","12f90cf5-57ab-f011-bbd3-002248724dd9","21","25","1","480810003","0","b1695973-fc10-ec11-b6e5-6045bd872777"
"","Office 365 Plan E3 + Enterprise Mobility & Security E3","95485805","","","Microsoft 365 E3","e60cf3e6-57ab-f011-bbd3-002248724dd9","39","47","1","480810003","0","b1695973-fc10-ec11-b6e5-6045bd872777"
"","Pack bureautique installable et online – Exchange Online 100Go – OneDrive 1To – Sharepoint 1To","95485804","","","Office 365 Plan E3","e50cf3e6-57ab-f011-bbd3-002248724dd9","25","30","1","480810003","0","b1695973-fc10-ec11-b6e5-6045bd872777"
"","Pack bureautique installable et online – OneDrive 1To – Fonctionnalité ProPlus","95485803","","","Microsoft 365 Apps for Enterprise","e40cf3e6-57ab-f011-bbd3-002248724dd9","14","17","1","480810003","0","b1695973-fc10-ec11-b6e5-6045bd872777"
"","Pack Bureautique installable et online – OneDrive 1To","95485802","","","Microsoft 365 Apps for Business","e30cf3e6-57ab-f011-bbd3-002248724dd9","10","12","1","480810003","0","b1695973-fc10-ec11-b6e5-6045bd872777"
"","Pack bureautique online – Exchange Online 50Go – OneDrive 1To – Sharepoint 1To – Teams","95485800","","","Microsoft 365 Business Basic (Limite 300 users)","de0cf3e6-57ab-f011-bbd3-002248724dd9","6","7","1","480810003","0","b1695973-fc10-ec11-b6e5-6045bd872777"
